mouse_life_stage,E9.5
gene_symbol,Ints3
gene_accession_id,MGI:2140050
parameter_name,CD4+ NKT cells - % of live leukocytes (Panel A)
analysis_id,023bk9d0i7s0i2x
pvalue,0.3644017
parameter_id,IMPC_IMM_011_002
mouse_strain,C57BL
