gene_symbol,Ccdc107
analysis_id,1d162948l8w182a
mouse_strain,C57BL
parameter_name,Delayed embryonic development
parameter_id,IMPC_GEM_075_001
mouse_life_stage,Early adult
pvalue,0.1017358
gene_accession_id,MGI:1913423
