gene_accession_id,MGI:103559
gene_symbol,Sox18
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_038_001
pvalue,0.8519236
parameter_name,Trunk curl
analysis_id,2360b4n200bh7na
