mouse_life_stage,Early adult
parameter_name,PP3 startle magnitude
gene_symbol,Nup35
pvalue,0.3779803
mouse_strain,C57BL
gene_accession_id,MGI:1916732
parameter_id,ESLIM_011_001_004
analysis_id,0f1a4j52jm791va
