Parameter_id,IMPC_CSD_005_001
mouse_strain,C57BL
gene_symbol,Bfsp1
pvalue,0.5600961
Parameter_name,Coat - color - back
gene_accession_id,MGI:101770
Mouse_life_stage,Early adult
analysis_id,0e8a88a927rksra
