mouse_life_stage,Early adult
parameter_name,Naive CD8+ T cells - % of CD8+
gene_accession_id,MGI:1341898
parameter_id,MGP_IMM_016_001
pvalue,0.9678771
gene_symbol,Nmur1
analysis_id,0f190uvu7dvu3dx
mouse_strain,C57BL
