gene_symbol,Srp9
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1350930
parameter_id,IMPC_CSD_038_001
pvalue,0.06092209
parameter_name,Trunk curl
analysis_id,027390994v23u8m
