parameter_name,Glucose
gene_accession_id,MGI:1332243
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ugcg
pvalue,0.3048777
analysis_id,0r59d7l31e7fu2x
parameter_id,JAX_PLC_004_001
