mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,CCP_LDT_003_001
analysis_id,1cqu79h4707wtma
gene_accession_id,MGI:1914210
gene_symbol,Mindy3
pvalue,0.202969
parameter_name,Time mobile light side
