mouse_life_stage,Early adult
gene_accession_id,MGI:109424
analysis_id,09g2q4g07j0ql5a
parameter_id,IMPC_GEO_065_001
pvalue,0.7525361
mouse_strain,C57BL
parameter_name,Limb morphology
gene_symbol,Abca4
