mouse_life_stage,Early adult
pvalue,0.2057633
parameter_id,MGP_MLN_078_001
analysis_id,0yc4200anav50ba
parameter_name,Total gd T cells - % of CD45+
gene_symbol,Synpo2
gene_accession_id,MGI:2153070
mouse_strain,C57BL
