parameter_name,Radius
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
pvalue,0.6881936
mouse_life_stage,Early adult
gene_symbol,Nup35
gene_accession_id,MGI:1916732
analysis_id,169dywe1s7lqu4a
