pvalue,0.9483151
analysis_id,1y437v41p1qtt1a
gene_accession_id,MGI:1096385
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_013_001
gene_symbol,Bcan
parameter_name,HR
