parameter_id,IMPC_DXA_008_001
mouse_life_stage,E9.5
gene_symbol,Eloa
pvalue,0.894999
mouse_strain,C57BL
analysis_id,155fwoz9k3d897m
parameter_name,Lean/Body weight
gene_accession_id,MGI:1351315
