pvalue,0.4198268
gene_symbol,Wnt6
analysis_id,0o8xj8kn4pkk74a
mouse_strain,C57BL
parameter_id,M-G-P_025_001_001
parameter_name,Glucose
gene_accession_id,MGI:98960
mouse_life_stage,Early adult
