mouse_strain,C57BL
parameter_id,IMPC_GEM_069_001
analysis_id,0r2345z14axp0bx
mouse_life_stage,Early adult
gene_symbol,Otol1
parameter_name,Hindbrain morphology
gene_accession_id,MGI:2685260
pvalue,0.714824
