mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
gene_symbol,Tram2
gene_accession_id,MGI:1924817
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
analysis_id,1999cuqztsu28gx
pvalue,3.403112e-06
