gene_accession_id,MGI:1201673
gene_symbol,Shox2
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,MGP_IMM_128_001
pvalue,0.7267413
parameter_name,Conventional DC (cDC) - % of CD45+
analysis_id,080ck2b0z14gi6a
