analysis_id,0dj36mf7lw3w39m
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1914210
pvalue,0.4117288
gene_symbol,Mindy3
parameter_name,Effector CD8+ T cells - % of live leukocytes (Panel A)
