gene_symbol,Frrs1l
pvalue,0.857348
analysis_id,26a7sm31m2g1xla
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
gene_accession_id,MGI:2442704
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
