gene_symbol,Pdik1l
gene_accession_id,MGI:2385213
pvalue,0.1923292
parameter_id,UCD_OWT_003_001
mouse_strain,C59BL
parameter_name,Spleen weight
analysis_id,08dbjk6t5m3x95m
mouse_life_stage,Middle aged adult
