pvalue,0.775622
parameter_id,ESLIM_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1916428
mouse_life_stage,Early adult
analysis_id,1n4sd0p0085ydqa
mouse_strain,129SV
gene_symbol,Snx5
