parameter_name,Potassium
gene_accession_id,MGI:2444631
analysis_id,12636ev59flstba
pvalue,0.5482114
parameter_id,IMPC_CBC_002_001
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Bltp1
