parameter_name,Cervical processes
gene_accession_id,MGI:1917120
gene_symbol,Polr3gl
mouse_strain,C57BL
parameter_id,IMPC_XRY_063_001
mouse_life_stage,E18.5
analysis_id,0d73715w89ywhba
pvalue,0.9457618
