mouse_life_stage,Early adult
parameter_id,IMPC_GEM_007_001
mouse_strain,C57BL
pvalue,0.3741499
parameter_name,Pericardium Morphology
gene_accession_id,MGI:1859866
gene_symbol,Cdc20
analysis_id,2ha5193z9c1986a
