mouse_strain,C57BL
gene_symbol,Pgm1
pvalue,0.306437
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_025_001
parameter_name,Head size
analysis_id,114t38r3891q1vx
gene_accession_id,MGI:97565
