mouse_strain,C57BL
pvalue,0.07763008
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_IMM_079_001
analysis_id,09792375e3397vm
gene_symbol,Cdh4
gene_accession_id,MGI:99218
