parameter_id,MGP_IMM_128_001
parameter_name,Conventional DC (cDC) - % of CD45+
mouse_strain,C57BL
gene_symbol,Casq2
gene_accession_id,MGI:1309469
pvalue,0.1754263
mouse_life_stage,E12.5
analysis_id,062i1078mi8rbwm
