analysis_id,04r6ia22817yksm
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:2684789
gene_symbol,Lrsam1
parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
pvalue,0.4452064
mouse_life_stage,Early adult
