mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.6742373
analysis_id,2g86e8qtw20391a
parameter_id,MGP_IMM_128_001
gene_symbol,Stxbp1
gene_accession_id,MGI:107363
parameter_name,Conventional DC (cDC) - % of CD45+
