analysis_id,1yuya17q1lt9b3a
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trim59
pvalue,0.2694335
parameter_id,IMPC_EYE_070_001
parameter_name,Left outer nuclear layer
gene_accession_id,MGI:1914199
