mouse_strain,C57BL
pvalue,0.4222624
analysis_id,13h57708232ttcx
gene_accession_id,MGI:1921607
gene_symbol,Efhd1
parameter_id,UCD_OWT_029_001
parameter_name,Body length
mouse_life_stage,Early adult
