parameter_id,MGP_CSD_068_001
mouse_strain,C57BL
gene_symbol,Prpf6
mouse_life_stage,Early adult
analysis_id,20p38trzk8m0z4a
pvalue,1.250128
gene_accession_id,MGI:1922946
parameter_name,Vibrissae
