mouse_strain,C57BL
parameter_name,spina bifida
analysis_id,04dgvr83ox7zc5a
mouse_life_stage,Early adult
gene_symbol,Clca1
pvalue,0.09189939
parameter_id,IMPC_GEO_043_002
gene_accession_id,MGI:1346342
