mouse_strain,C57BL
pvalue,0.147197
parameter_name,% Pre-pulse inhibition - PPI3
parameter_id,IMPC_ACS_035_001
gene_accession_id,MGI:106637
analysis_id,050t179i06k9ihx
mouse_life_stage,E9.5
gene_symbol,Slc30a2
