parameter_id,JAX_HBD_001_001
mouse_strain,C57BL
gene_symbol,Fjx1
gene_accession_id,MGI:1341907
parameter_name,Total holepokes
analysis_id,1b91s635p1sd1wa
pvalue,0.8606
mouse_life_stage,Early adult
