parameter_name,Edema
pvalue,0.6017967
analysis_id,1g10fj71252721m
gene_symbol,Unc5c
parameter_id,IMPC_GEP_030_002
gene_accession_id,MGI:1095412
mouse_strain,C57BL
mouse_life_stage,Early adult
