pvalue,0.1798851
analysis_id,20c6jh730i23i1a
gene_accession_id,MGI:1347355
mouse_strain,C57BL
gene_symbol,Slc7a11
mouse_life_stage,Early adult
parameter_id,MGP_IMM_116_001
parameter_name,Plasma cells - % of CD45+
