gene_symbol,Bltp1
mouse_strain,C57BL
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
analysis_id,171x1914n1rt4qa
gene_accession_id,MGI:2444631
pvalue,0.9211174
mouse_life_stage,E12.5
