gene_symbol,Hspa12b
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8866748
parameter_name,Trunk curl
analysis_id,0101197v0wg94cm
gene_accession_id,MGI:1919880
parameter_id,IMPC_CSD_038_001
