parameter_id,M-G-P_012_001_005
parameter_name,Body Weight
mouse_life_stage,Early adult
gene_symbol,Mob4
pvalue,0.1137561
analysis_id,1y5x355rlw3y1ia
mouse_strain,C57BL
gene_accession_id,MGI:104899
