analysis_id,0m94o30n53498cm
pvalue,0.2235897
parameter_name,Polysyndactylism
gene_accession_id,MGI:2385213
gene_symbol,Pdik1l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,CCP_XRY_062_001
