analysis_id,1ru23tad1ur785m
mouse_strain,C57BL
gene_symbol,Pak6
parameter_name,Forebrain morphology
pvalue,0.606177
gene_accession_id,MGI:2679420
mouse_life_stage,Early adult
parameter_id,IMPC_GEM_068_001
