mouse_strain,C57BL
parameter_id,IMPC_GEP_034_001
mouse_life_stage,Early adult
analysis_id,01uyr330u5w680m
gene_symbol,Runx1t1
pvalue,0.1239294
gene_accession_id,MGI:104793
parameter_name,Skin Appearance
