analysis_id,1u8t8ig788swi7a
gene_symbol,Hsfy2
mouse_strain,C57BL
parameter_name,LDL-cholesterol
gene_accession_id,MGI:1918316
parameter_id,IMPC_CBC_025_001
pvalue,0.9953036
mouse_life_stage,Early adult
