gene_symbol,Etv3
parameter_id,IMPC_CBC_017_001
analysis_id,11h3rk12i0941ya
parameter_name,Triglycerides
mouse_strain,C57BL
gene_accession_id,MGI:1350926
mouse_life_stage,Early adult
pvalue,0.1541018
