mouse_strain,C57BL
analysis_id,0958h4153iyh8dm
gene_accession_id,MGI:87879
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
pvalue,0.05876604
gene_symbol,Aco1
