pvalue,0.0785232
mouse_strain,C57BL
analysis_id,01wp726oud68fxm
gene_accession_id,MGI:1916022
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
gene_symbol,Smpdl3b
