gene_symbol,Epc2
mouse_strain,C57BL
parameter_id,IMPC_CSD_041_002
parameter_name,Hindpaw - size
analysis_id,15r47p0lch4807m
mouse_life_stage,Early adult
pvalue,0.6412936
gene_accession_id,MGI:1278321
