pvalue,0.2524262
parameter_id,IMPC_OFD_007_001
analysis_id,0o61936d42j9zha
gene_symbol,Txnip
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1889549
parameter_name,Whole arena resting time
