mouse_strain,C57BL
analysis_id,2ez42kdl367d92a
gene_symbol,Ier5
parameter_name,Potassium
gene_accession_id,MGI:1337072
mouse_life_stage,Early adult
pvalue,0.2840938
parameter_id,IMPC_CBC_002_001
