mouse_strain,C57BL
pvalue,0.318936
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_032_001
gene_symbol,Ifi44l
analysis_id,021r02vbxk91w0m
parameter_name,Lymphocyte cell count
gene_accession_id,MGI:95975
