gene_accession_id,MGI:2443564
gene_symbol,Ambra1
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,ESLIM_015_001_004
pvalue,0.3654595
parameter_name,Sodium
analysis_id,13d252vx8yt5ica
