analysis_id,02anbnosd8fb32m
gene_symbol,Tox2
parameter_name,Retinal Blood Vessels Structure
gene_accession_id,MGI:3611233
mouse_strain,C57BL
parameter_id,IMPC_EYE_025_001
pvalue,0.5267301
mouse_life_stage,Early adult
