pvalue,0.1184961
analysis_id,0h101605w9mw8rm
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
gene_symbol,Mybpc3
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:102844
