gene_symbol,Inpp5e
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,106xa8zk4b9386m
pvalue,0.9792219
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1927753
