mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2557633
gene_symbol,Pdik1l
parameter_name,% Pre-pulse inhibition - PPI1
analysis_id,0hdd375278pmlhm
gene_accession_id,MGI:2385213
parameter_id,IMPC_ACS_033_001
