gene_symbol,Lrsam1
analysis_id,1bl557d831hy1yx
mouse_strain,C57BL
parameter_id,ESLIM_020_001_002
parameter_name,Heart weight
gene_accession_id,MGI:2684789
pvalue,0.7078772
mouse_life_stage,Early adult
