mouse_life_stage,Early adult
parameter_id,IMPC_EYE_088_001
analysis_id,1d0930ivkps3psm
gene_accession_id,MGI:1919051
gene_symbol,Plekhf2
parameter_name,Left vitreous humour thickness
mouse_strain,C57BL
pvalue,0.7552174
