mouse_life_stage,Early adult
gene_symbol,Cimip1
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
pvalue,0.7090884
gene_accession_id,MGI:1919471
parameter_name,Edema
analysis_id,068k675497881ea
