parameter_id,JAX_LDT_009_001
mouse_strain,C57BL
analysis_id,1ji37321k362csa
gene_symbol,Thsd7b
gene_accession_id,MGI:2443925
parameter_name,Percent time in light
mouse_life_stage,Early adult
pvalue,0.4415124
