mouse_life_stage,Early adult
gene_symbol,Ttl
gene_accession_id,MGI:1916987
parameter_id,CCP_XRY_003_001
analysis_id,18dj5d692nqgo7a
parameter_name,Maxilla/Pre-maxilla
mouse_strain,C57BL
pvalue,0.7939008
