mouse_strain,C57BL
parameter_id,IMPC_EYE_069_001
parameter_name,Left inner nuclear layer
mouse_life_stage,E9.5
analysis_id,28qs8jzf43i8f1a
gene_accession_id,MGI:1915247
pvalue,0.3940607
gene_symbol,Ddx59
