mouse_life_stage,E12.5
parameter_id,M-G-P_026_001_010
analysis_id,0jz74ji78ve1x6a
gene_symbol,Trim59
gene_accession_id,MGI:1914199
parameter_name,Mouth morphology
mouse_strain,C57BL
pvalue,0.7612675
